Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Order,Prey Family,Prey Genus,Prey Species,Body Form,Habitat,Habit,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
1,29-12-2017,HCDB01,HCDB01,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,4,,,,,,,SD DSC9298,Malvan,
2,29-12-2017,HSDB02,HSDB02.1,Gut content,Hydrophis schistosus,Pufferfish,,Tetraodontidae,,Chelonodon laticeps,,,,Yes,,1,5.607,1.325,1.056,7,,,SD DSC9291,Malvan,To be weighed
3,29-12-2017,HSDB02,HSDB02.2,Gut content,Hydrophis schistosus,Pufferfish,,Tetraodontidae,,Chelonodon laticeps,,,,Yes,,2,6.25,1.437,1.82,7,,,SD DSC9289,Malvan,To be weighed
4,29-12-2017,HSDB02,HSDB02.3,Gut content,Hydrophis schistosus,Pufferfish,,Tetraodontidae,,Chelonodon laticeps,,,,,,4,,,,,,,,Malvan,
5,29-12-2017,HSDB02,HSDB02.4,Gut content,Hydrophis schistosus,Pufferfish,,Tetraodontidae,,Chelonodon laticeps,,,,,,4,,,,,,,,Malvan,
6,31-12-2017,HCDB03,HCDB03,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,4,,,,,,,SD IMG192025,Malvan,
7,31-12-2017,HCMT05,HCMT05,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,4,,,,,,,SD IMG192054,Malvan,
8,01-01-2018,HCDB05,HCDB05.1,Gut content,Hydrophis curtus,Tarli,,Clupeidae,,Sardinella sp.,,,,,Yes,1,14.9,1.7,3.013,55,,,TG IMG11721850,Malvan,
9,01-01-2018,HCDB05,HCDB05.2,Gut content,Hydrophis curtus,Tarli,,Clupeidae,,Sardinella sp.,,,,,,1,,,,,,,,Malvan,Regurgitated on board
10,04-01-2018,HSDB03,HSDB03,Gut content,Hydrophis schistosus,Largescaled terapon,,Teraponidae,,Terapon theraps,,,,,Yes,2,11,2.7,3.6,30,,,,Malvan,Regurgitated in captivity
11,04-01-2018,HSMT02,HSMT02,Gut content,Hydrophis schistosus,Mantis Shrimp,Stomatopoda,Unidentified,,Unidentified,,,,Yes,,1,1.5,5,1.41,4,,,,Malvan,
12,05-01-2018,HSDB05,HSDB05,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,3,,,,,,,SD IMG101228,Malvan,
13,11-01-2018,HCMT18,HCMT18,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,4,,,,,,,SD IMG 200517,Malvan,
14,17-01-2018,HSDB23,HSDB23,Gut content,Hydrophis schistosus,Terapon,,Teraponidae,,Terapon sp.,,,,,Yes,2,11.5,2.6,4.5,39,,,,Malvan,
15,18-01-2018,HSDB27,HSDB27,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,4,,,,,,,,Malvan,Piece of tail fin
16,18-01-2018,HSDB28,HSDB28,Gut content,Hydrophis schistosus,Eel?,Unidentified,Unidentified,,Unidentified,,,,,Yes,5,,,,,,,,Malvan,Elongate digested mass
17,18-01-2018,HSDB29,HSDB29.1,Gut content,Hydrophis schistosus,Pufferfish,,Tetraodontidae,,Arothron sp.,,,,,,3,10.2,2.3,,14,,,TG ,Malvan,
18,18-01-2018,HSDB29,HSDB29.2,Gut content,Hydrophis schistosus,Pufferfish,,Tetraodontidae,,Arothron sp.,,,,,Yes,1,8.3,2,4.3,24,,,TG,Malvan,Puffed up in gut
19,20-01-2018,HSDB32,HSDB32,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,,Serranidae,,Epinephelus diacanthus,,,,,,3,15.5,2.5,4.5,50,,,,Malvan,
20,20-01-2018,HSDB41,HSDB41,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,3,8.4,2,2.3,6,,,SD IMG 193951,Malvan,
21,20-01-2018,HSDB44,HSDB44,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,,Serranidae,,Epinephelus diacanthus,,,,,Yes,2,14.8,2.5,4.9,61,,,SD IMG 192382,Malvan,
22,21-01-2018,HSDB51,HSDB51,Gut content,Hydrophis schistosus,Eel Catfish,,Plotosidae,,Plotosus sp.,,,,,Yes,3,17,1.5,3,18,,,TG IMG 5445,Malvan,
23,22-01-2018,HSDB57,HSDB57,Gut content,Hydrophis schistosus,Smallscaled terapon,,Teraponidae,,Terapon puta,,,,,Yes,3,7.5,1.8,3.7,22,,,,Malvan,Half fish
24,23-01-2018,HSDB63,HSDB63,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,5,,,,,,,,Malvan,Mass of digested bones and feces
25,23-01-2018,HSDB69,HSDB69,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,3,,,2.2,12,,,SD IMG 170401,Malvan,Half fish
26,27-01-2018,HSDB76,HSDB76.1,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,3,14,2.5,1.8,13,,,SD IMG 201243,Malvan,Half fish
27,27-01-2018,HSDB76,HSDB76.2,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,3,,2.9,1.5,9,,,SD IMG 201257,Malvan,Half fish
28,27-01-2018,HSDB77,HSDB77,Gut content,Hydrophis schistosus,Right eye flounder,,Pleuronectidae,,Unidentified,,,,,Yes,2,8.6,3,1.5,7,,,SD IMG 201318,Malvan,
29,27-01-2018,HSDB79,HSDB79,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,3,,0.8,3,4,,,SD IMG 201309,Malvan,
30,02-02-2018,HSDB85,HSDB85.1,Gut content,Hydrophis schistosus,Sardine,,Clupeidae,,Sardinella sp.,,,,,Yes,1,16.3,3.2,4.3,57,,,TG IMG 113931685,Malvan,Undigested
31,02-02-2018,HSDB85,HSDB85.2,Gut content,Hydrophis schistosus,Sardine,,Clupeidae,,Sardinella sp.,,,,,,2,14.2,3.2,3.5,36,,,TG IMG 113931685,Malvan,Anterior half partly digested
32,02-02-2018,HSDB87,HSDB87,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,3,8.4,3.7,3.3,16,,,TG IMG 114446994,Malvan,Half fish
33,02-02-2018,HSDB90,HSDB90,Gut content,Hydrophis schistosus,Sardine,,Clupeidae,,Unidentified,,,,,,,14.9,3.2,4.2,38,,,TG IMG 113504439,Malvan,Maybe Sardinella sp.
34,03-02-2018,,HSMT06-17,Gut content,Hydrophis schistosus,Eel Catfish,,Plotosidae,,Plotosus sp.,,,,,,3,13.5,1.4,3.5,16,,,TG IMG 195358225,Malvan,Half fish
35,03-02-2018,,HSMT06-17,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,3,9.5,2.3,3,15,,,TG IMG 195608315,Malvan,Max girth an underestimate
36,03-02-2018,,HSMT06-17,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,2,9.2,2.1,2.7,15,,,TG IMG 195608315,Malvan,Max girth an underestimate
37,03-02-2018,,HSMT06-17,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,2,9.6,2.3,3,20,,,TG IMG 195720801,Malvan,Max girth an underestimate
38,04-02-2018,,HSDB 95-96,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,,Serranidae,,Epinephelus diacanthus,,,,,Yes,3,7.9,3,3.5,13,,,TG IMG 104646504,Malvan,Half fish
39,04-02-2018,,HSDB 95-96,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,,Serranidae,,Epinephelus diacanthus,,,,,,3,12.9,2.6,2.8,12,,,TG IMG 104646504,Malvan,Max girth an underestimate
40,06-02-2018,HSDB101,HSDB101,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,4,,,,9,,,SD IMG 202938,Malvan,
41,07-02-2018,HCDB09,HCDB09,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,3,,3.638,3.236,8,,,SD IMG 162454,Malvan,
42,07-02-2018,HSDB105,HSDB105,Gut content,Hydrophis schistosus,Lizard fish?,,Synodontidae,,Unidentified,,,,,,3,,,,,,,CR IMG 2980,Malvan,?
43,07-02-2018,HCDB10,HCDB10,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,5,,,,,,,CR IMG 2992,Malvan,
44,08-02-2018,HCDB11,HCDB11,Gut content,Hydrophis curtus,Scad,,Carangidae,,Alepes sp.,,,,,,3,,,,,,,No,Malvan,
45,08-02-2018,HCDB12,HCDB12,Gut content,Hydrophis curtus,Anchove,,Engraulidae,,Unidentified,,,,,Yes,3,,3.5,3.7,7,,,SD IMG 184058,Malvan,
46,10-02-2018,,GCMT01,Trawler,,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,1,11.8,2.6,4,51,15,28.05,No,Malvan,
46,10-02-2018,,GCMT02,Trawler,,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,1,9,2.1,2.9,16,15,28.05,No,Malvan,
47,11-02-2018,HCDB17,HCDB17,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,4,,,,,,,SD DSC 9609,Malvan,
48,12-02-2018,HSMT47,HSMT47,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,,Serranidae,,Epinephelus sp.,,,,,Yes,2,9.7,2.3,2.5,9,,,No,Malvan,
49,12-02-2018,HSMT48,HSMT48,Gut content,Hydrophis schistosus,Torpedo scad,,Carangidae,,Megalapsis cordyla,,,,,Yes,3,9.4,2.4,2.4,6,,,No,Malvan,
50,12-02-2018,HSMT49,HSMT49.1,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,4,9.7,2.6,2,8,,,No,Malvan,
51,12-02-2018,HSMT49,HSMT49.2,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,1,10,2.4,3.8,21,,,No,Malvan,
52,12-02-2018,HSMT51,HSMT51,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,4,,,,,,,No,Malvan,
53,12-02-2018,HSMT54,HSMT54,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,4,,,,,,,No,Malvan,
54,18-02-2018,HCDB18,HCDB18.1,Gut content,Hydrophis curtus,Laepe?,,Cynoglossidae,,Unidentified,,,,,,5,,,,,,,SD IMG 145644,Malvan,
55,18-02-2018,HCDB18,HCDB18.2,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,5,,,,,,,SD IMG 145602,Malvan,
56,19-02-2018,HCDB20,HCDB20,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,5,,,,,,,SD IMG 104909,Malvan,
57,23-02-2018,HCDB23,HCDB23,Gut content,Hydrophis curtus,Dussumier's thryssa,,Engraulidae,,Thryssa dussumieri,,,,,Yes,1,11.7,2.4,3.5,22,,,SD IMG 103601,Malvan,
58,24-02-2018,HCDB31,HCDB31,Gut content,Hydrophis curtus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,2,10.9,2.6,2,23,,,SD IMG 112921,Malvan,
59,25-02-2018,HCDB34,HCDB34,Gut content,Hydrophis curtus,Pony fish,,Leiognathidae,,Leiognathus sp.,,,,,,4,,,,,,,SD IMG 114250,Malvan,
60,25-02-2018,HSDB116,HSDB116,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,3,10,2.6,2.4,14,,,No,Malvan,
61,05-03-2018,,HSMT78 - 85,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,5,,,,,,,No,Tondavali,From multiple snakes
62,09-03-2018,HSDB125,HSDB125,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,3,14,2.8,4.2,34,,,TG IMG 195726450,Malvan,
63,09-03-2018,HSDB126,HSDB126,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,3,7.7,2.5,2.5,5,,,TG IMG 19535403,Malvan,
64,09-03-2018,HSDB129,HSDB129,Gut content,Hydrophis schistosus,Largescaled terapon,,Teraponidae,,Terapon theraps,,,,,Yes,1,11.7,2,4.2,30,,,TG IMG 195703992,Malvan,Stored as HSDB128
65,09-03-2018,HSDB136,HSDB136,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,1,13.1,3,3.7,38,,,No,Malvan,
66,11-03-2018,HSDB139,HSDB139,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,3,10.2,2.6,3.3,15,,,No,Malvan,
67,11-03-2018,HSDB140,HSDB140,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,2,14,3.2,4.5,48,,,No,Malvan,
68,12-03-2018,HSDB142,HSDB142,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,2,12.4,3,3.6,26,,,No,Malvan,
69,12-03-2018,HSDB147,HSDB147,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,2,13.2,3,3.2,35,,,No,Malvan,
70,12-03-2018,HSDB151,HSDB151,Gut content,Hydrophis schistosus,Sardine,,Clupeidae,,Sardinella sp.,,,,,Yes,2,16.6,3,4,49,,,SD IMG 130423,Malvan,Longiceps?
71,15-03-2018,HSDB157,HSDB157,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,3,8.4,2.3,2.5,6,,,No,Malvan,
72,17-03-2018,HSDB162,HSDB162,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,3,8.5,3,4.2,19,,,No,Malvan,
73,17-03-2018,HSDB163,HSDB163,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,2,14.5,4,4.7,36,,,No,Malvan,
74,22-03-2018,HSDB167,HSDB167,Gut content,Hydrophis schistosus,Tarli,,Clupeidae,,Sardinella longiceps,,,,,Yes,3,13.2,2.6,3,15,,,SD IMG 134757,Malvan,
75,22-03-2018,HSDB168,HSDB168,Gut content,Hydrophis schistosus,Indian Mackerel,,Scombridae,,Rastrelliger kanagurta,,,,,Yes,4,15,3.22,5.5,23,,,SD IMG 185400,Malvan,
76,23-03-2018,HSDB174,HSDB174,Gut content,Hydrophis schistosus,Catfish,,Ariidae,,Arius maculatus,,,,,Yes,1,11,3,3,14,,,SD IMG 091022,Malvan,
77,28-03-2018,HSDB176,HSDB176,Gut content,Hydrophis schistosus,Catfish,,Ariidae,,Arius caelatus,,,,,Yes,3,15.2,5.5,4.5,55,,,SD IMG 105143,Malvan,
78,31-03-2018,,HSMT110 - 118,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,,4,8.5,2,2,7,,,No,Aachara,
79,12-04-2018,HSDB191,HSDB191,Gut content,Hydrophis schistosus,Catfish,,Ariidae,,Unidentified,,,,,Yes,4,9.5,2.3,,,,,No,Malvan,Weight <1
80,17-04-2018,,GCMT03,Trawler,,Spiny Cheeked Grouper,,Serranidae,,Epinephelus diacanthus,,,,,Yes,1,14.8,3.2,5.2,75,15.5,28.985,No,Aachara,DL
81,17-04-2018,,GCMT04,Trawler,,Smooth blassop pufferfish,,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,1,9,1.7,2.1,21,,,No,,"GM, info with trisha"
82,18-04-2018,,GCGN01,Gill Net,,Largescaled terapon,,Teraponidae,,Terapon theraps,,,,,Yes,1,12.9,2.1,4.5,50,,,No,Kolamb,
83,30-04-2018,,GCMT05,Trawler,,Torpedo scad,,Carangidae,,Megalapsis cordyla,,,,,Yes,1,,,,,17,,No,Malvan,From Gajannan Maharaj. Forgot to take specimen measurements
84,01-05-2018,,GCMT06,Trawler,,Indian oil sadine,,Clupeidae,,Sardinella longiceps,,,,,Yes,1,14.5,4,5,41,12,22.44,No,Aachara,
85,02-05-2018,,HSDB205-207,Gut content,Hydrophis schistosus,Sardine,,Clupeidae,,Unidentified,,,,,,3,11.5,3.4,4,13,,,Bryan,Sindhudurg Fort,"Possibly Sardinella sp. , most likely from HSDB206"
86,02-05-2018,,GCMT07,Trawler,,Gold striped pony fish ,,Leiognathidae,,Leiognathus daura,,,,,Yes,1,10.2,3.5,5,23,12.5,23.375,No,Aachara,From Gajannan Maharaj
87,03-05-2018,,GCMT08,Trawler,,Indian Mackerel,,Scombridae,,Rastrelliger kanagurta,,,,,Yes,1,13.5,3,4.5,37,,,No,,
88,04-05-2018,HSDB217,HSDB217,Gut content,Hydrophis schistosus,Pony fish,,Leiognathidae,,Unidentified,,,,,Yes,3,5.8,3.4,2.8,5,,,Trisha,,Most likely L. lineolatus 
89,06-05-2018,HSDB219,HSDB219,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,,,1,8,2.8,4.5,19,,,No,,
90,06-05-2018,HSDB219,HSDB219,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Unidentified,,,,Yes,,3,7.7,2.8,5,10,,,Bryan,,
